pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
HD 206893 b,14.011,8899.1954,9350.0,1429.2,6500.0,1.32,1.31,0.014262971257932,1.2948325416735873,-3.3709117781417086e-16,45.33279293116968,2.386084527369551,42.6020933724104,99.68967002190521,0.375,1.0,1572.1200000000001,282.26616806659825,0.006192672704639802,7.551539232507612e-05,0.0
COCONUTS-2 b,12.442,2542.62726,402000000.0,434.0,3406.0,0.37,0.39,0.0,-1.1992529052142376,-0.0791879487595267,16.424883764153858,0.7190719948999539,46.13921505604761,96.0915825007205,1.0,1.0,477.40000000000003,160.10845752760682,3.371684554577413e-08,0.016632249517016348,0.342361111111111
KELT-20 b,19.515,1074.90106,3.4741085,2262.0,8720.0,1.76,1.57,-0.29,3.381924945379556,-1.6892665729796743,2.8224832931355017,-0.0653282855164087,20.224976640656394,68.786311575159,0.0,1.0,2488.2000000000003,83.12238397830787,5.574332147505489,1.497448441341537e-05,0.0
HD 158259 b,1.282,2.22,2.178,1462.0,5801.89,1.08,1.21,0.014262971257932,1.377033107045292,-3.3709117781417086e-16,1.3507560583234564,-0.1501973685979289,49.16515077783114,53.905956884780196,0.5495275,0.011871423726700163,1463.7356021488433,14.73840536909312,0.8858631494739343,0.0016879649164863151,0.0
K2-122 b,1.16,1.65,2.2193023,769.0,4009.0,0.63,0.59,0.32,-0.3597044479117643,1.6974505331385672,1.2262187871581451,-0.1573789738324237,43.25504300757966,46.317654869904665,0.99775,0.14122114673571742,779.8599061839767,13.357678922885388,0.04741624112636486,0.028644333461335873,0.0
LP 890-9 c,1.367,25.3,8.457463,272.0,2850.0,0.12,0.16,-0.028,-1.605243502476926,-0.23464381592561,13.53890347725063,0.5526481529357194,57.23118528283534,72.32445199607666,1.0,0.9936861202861212,299.0282624717825,48.183020986014334,0.0003650473367313511,0.41299451035246015,0.9617074219729774
Kepler-1239 b,2.9,8.75,5.19104016,1183.0,6564.0,1.4,1.57,0.22,0.6778270784262174,1.142251007545413,1.0404280618311534,-0.1680928399147933,47.26820316496146,55.71068533000608,0.359,0.04590577181666446,1188.4306528059114,19.45463334583023,1.3693901041525538,0.002872468116616242,0.0
TOI-5232 b,12.778,743.71847,4.0966692,1772.0,6212.0,1.39,1.79,-0.104,2.1539286943998195,-0.6565954553764073,4.554941457747423,0.0345761889200411,44.97781556835016,87.19061606701057,0.44699999999999995,0.9999999999999916,1949.1999999999987,85.4458283466419,1.6719929260282274,6.160288089135382e-05,0.0
K2-318 b,1.66,3.39,7.01,456.0,3851.0,0.56,0.55,0.014262971257932,-1.1441183796600451,-3.3709117781417086e-16,1.2302220931920451,-0.1571481179344317,48.13067426664101,50.446083796992944,1.0,0.3856976711429494,473.5878138041185,16.00530032689849,0.016296610714966717,0.1561279453465434,0.35559786873569954
K2-154 b,1.99,4.62,3.67626,715.0,4097.0,0.65,0.63,0.21,-0.4950346469993272,1.0867310549860976,1.1666372061311585,-0.1608148239211485,43.21292611737512,48.83701700038265,0.97575,0.18936234181492775,728.5394074397673,17.065242821677458,0.04212086927769519,0.028389356102185258,0.0
